field_prefix;rho_degassed_kg_m3_at_1.0132bar
AZ;825.9921
Au;825.9921
Bt;808.1644
Da;825.9921
Da-505;825.9921
Ic;808.1644
Ki;825.9921
Ma;808.1644
Mc;853.0254
Msh;825.9921
Sm;853.0254
Tk;825.9921
Vt;808.1644
Ya;825.9921
Ya-519;825.9921
Ya-536;825.9921
ZA;825.9921
