factor,total,sum_loss,sum_gain,top5_down,top5_up,мероприятие_снижение,мероприятие_рост
ГДИ / остановка,-537.9,-1842.2,1304.3,Mc_010:-559; Au_458:-468; Ya_631:-260; Vt_419:-255; Da_515:-173,Mc_20414:934; Vt_4401:197; Mc_601:154; Az_105:10; Mc_1004:6,Интерпретация ГДИ,—
Частота / РПТЧ,-653.7,-784.3,130.6,Mc_20414:-283; Au_389:-78; Mc_1003:-59; Ya_203:-49; Ya_682:-36,Vt_419:29; Az_105:28; Vt_655:12; Ya_549:12; Vt_3311:12,Пересмотр режима работы,Пересмотр режима работы
Периодическая работа,32.2,-14.5,46.7,Ic_805:-13; Ya_289:-1,Vt_419:29; Vt_655:9; Vt_605:5; Vt_606:3,Пересмотр режима работы,Пересмотр режима работы
Осложнённый фонд,-16.6,-16.6,0.0,Ic_805:-13; Ic_914:-2; Ya_289:-1,,Пересмотр режима работы,Пересмотр режима работы
Подача воды / СППВ,-1.3,-1.3,0.0,Ya_289:-1,,Пересмотр режима работы,Пересмотр режима работы
НУР,52.6,0.0,52.6,,Vt_4401:28; Vt_419:21; Ya_289:3; Ic_002:0,Пересмотр режима работы,—
Кпрод,1.9,-34.5,36.4,Ic_805:-13; Vt_419:-12; Da_515:-5; Ya_289:-2; Ic_914:-2,Vt_4401:24; Vt_3311:12; Ic_370:1,ОПЗ,—
Рпл,-289.8,-316.1,26.3,Mc_010:-167; Mc_1003:-59; Vt_410:-25; Ic_367:-19; Ic_368:-17,Vt_655:12; Ic_349:8; Vt_605:5; Ic_370:1,Анализ ячейки заводнения,Оценка оптимизации
Газовый фактор,0.0,0.0,0.0,,,Анализ ячейки заводнения / корр. режима ЭЦН,—
